scheme_name,Scheme Codes,expense_ratio,risk_level,returns_1yr,returns_3yr,returns_5yr,Sub_Category,NAV,fund_description,embedding_index
Invesco India Largecap Fund,104636,0.81,0.5,-1.8,24.0,11.1,Large Cap Mutual Funds,111.48,Invesco India Largecap Fund - Large Cap Mutual Funds,314
Invesco India Liquid Fund,104722,0.15,0.1,5.6,4.3,5.3,Liquid Mutual Funds,1388.4717,Invesco India Liquid Fund - Liquid Mutual Funds,315
Invesco India Midcap Fund,104723,0.72,0.5,0.2,33.5,14.6,Mid Cap Mutual Funds,1324.6886,Invesco India Midcap Fund - Mid Cap Mutual Funds,316
Invesco India Money Market Fund,104724,0.22,0.1,5.0,5.1,5.8,Money Market Funds,2035.6443,Invesco India Money Market Fund - Money Market Funds,317
Invesco India Multicap Fund,104725,0.65,0.5,1.4,27.0,11.0,Multi Cap Funds,1230.8533,Invesco India Multicap Fund - Multi Cap Funds,318
Invesco India PSU Equity Fund,104726,0.96,0.5,16.2,26.5,12.6,Sectoral / Thematic Mutual Funds,3682.0065,Invesco India PSU Equity Fund - Sectoral / Thematic Mutual Funds,319
Invesco India Short Term Fund,104727,0.35,0.1,3.9,6.2,6.8,Short Duration Funds,1658.8667,Invesco India Short Term Fund - Short Duration Funds,320
Invesco India Tax Plan – Direct Growth,104728,0.92,0.5,-5.2,22.4,10.8,ELSS Mutual Funds,3285.6011,Invesco India Tax Plan – Direct Growth - ELSS Mutual Funds,321
Invesco India Treasury Advantage Fund,104729,0.32,0.1,4.9,5.6,6.4,Low Duration Funds,1341.8843,Invesco India Treasury Advantage Fund - Low Duration Funds,322
Invesco India Ultra Short Term Fund,105024,0.24,0.1,5.4,5.1,6.0,Ultra Short Duration Funds,1634.1603,Invesco India Ultra Short Term Fund - Ultra Short Duration Funds,323
JM Arbitrage Fund,103780,0.36,0.0,5.4,3.7,4.5,Arbitrage Mutual Funds,32.0104,JM Arbitrage Fund - Arbitrage Mutual Funds,324
JM Dynamic Bond Fund,101805,0.63,0.1,4.8,6.0,6.1,Dynamic Bond,40.2693,JM Dynamic Bond Fund - Dynamic Bond,325
JM Equity Hybrid Fund,100220,1.37,0.5,8.0,29.5,11.2,Aggressive Hybrid Mutual Funds,30.9378,JM Equity Hybrid Fund - Aggressive Hybrid Mutual Funds,326
JM Flexicap Fund,120491,1.62,0.5,5.2,30.7,13.8,Flexi Cap Funds,91.435,JM Flexicap Fund - Flexi Cap Funds,327
JM Focused Fund,120488,1.58,0.5,3.1,19.4,8.6,Focused Funds,20.8044,JM Focused Fund - Focused Funds,328
JM Large Cap Fund,100218,1.8,0.5,1.8,18.3,10.4,Large Cap Mutual Funds,26.7752,JM Large Cap Fund - Large Cap Mutual Funds,329
JM Liquid Fund,100233,0.15,0.1,5.6,4.2,5.3,Liquid Mutual Funds,11.0073,JM Liquid Fund - Liquid Mutual Funds,330
JM Low Duration Fund,143603,0.34,0.1,5.1,11.5,5.3,Low Duration Funds,10.82,JM Low Duration Fund - Low Duration Funds,331
JM Medium to Long Duration Fund,100222,0.48,0.2,2.5,4.8,3.1,Medium to Long Duration Funds,20.4439,JM Medium to Long Duration Fund - Medium to Long Duration Funds,332
JM Tax Gain Fund,107288,1.45,0.5,0.9,26.2,12.8,ELSS Mutual Funds,43.4384,JM Tax Gain Fund - ELSS Mutual Funds,333
JM Value Fund,100254,1.87,0.5,7.7,28.9,12.4,Value Funds,86.6668,JM Value Fund - Value Funds,334
Kotak Banking and PSU Debt Fund,100261,0.37,0.2,4.7,6.7,7.5,Banking and PSU Mutual Funds,10.7834,Kotak Banking and PSU Debt Fund - Banking and PSU Mutual Funds,335
Kotak Bluechip Fund,100262,0.64,0.5,3.3,26.8,12.6,Large Cap Mutual Funds,26.3699,Kotak Bluechip Fund - Large Cap Mutual Funds,336
Kotak Bond – Short Term Fund,100263,0.36,0.2,4.4,6.5,7.2,Short Duration Funds,15.6902,Kotak Bond – Short Term Fund - Short Duration Funds,337
Kotak Bond Fund,100264,0.63,0.1,4.1,6.4,7.7,Medium to Long Duration Funds,18.2766,Kotak Bond Fund - Medium to Long Duration Funds,338
Kotak Corporate Bond Fund,100265,0.32,0.1,4.5,6.4,7.1,Corporate Bond Mutual Funds,93.5329,Kotak Corporate Bond Fund - Corporate Bond Mutual Funds,339
Kotak Credit Risk Fund,100278,0.74,0.4,1.6,5.9,6.4,Credit Risk Funds,10.00523,Kotak Credit Risk Fund - Credit Risk Funds,340
Kotak Debt Hybrid Fund,100279,0.44,0.3,6.1,14.3,10.0,Conservative Hybrid Mutual Funds,10.20583,Kotak Debt Hybrid Fund - Conservative Hybrid Mutual Funds,341
Kotak Dynamic Bond Fund,100280,0.4,0.2,3.9,6.6,7.8,Dynamic Bond,11.9471,Kotak Dynamic Bond Fund - Dynamic Bond,342
Kotak Emerging Equity Fund,100281,0.49,0.5,6.6,34.0,15.2,Mid Cap Mutual Funds,95.6905,Kotak Emerging Equity Fund - Mid Cap Mutual Funds,343
Kotak Equity Arbitrage Fund,100286,0.43,0.0,5.8,4.9,5.6,Arbitrage Mutual Funds,32.488,Kotak Equity Arbitrage Fund - Arbitrage Mutual Funds,344
Kotak Equity Hybrid Fund,100289,0.58,0.5,5.0,26.9,12.8,Aggressive Hybrid Mutual Funds,5.948,Kotak Equity Hybrid Fund - Aggressive Hybrid Mutual Funds,345
Kotak Equity Opportunities – Direct Growth,100290,0.6,0.5,6.2,28.8,13.9,Large & Mid Cap Funds,25.009,Kotak Equity Opportunities – Direct Growth - Large & Mid Cap Funds,346
Kotak Equity Savings Fund,100291,1.02,0.3,6.6,14.4,9.2,Equity Savings Mutual Funds,13.6554,Kotak Equity Savings Fund - Equity Savings Mutual Funds,347
Kotak Flexi Cap Fund,100292,0.68,0.5,3.8,25.0,11.7,Flexi Cap Funds,42.9354,Kotak Flexi Cap Fund - Flexi Cap Funds,348
Kotak Gilt – Invest Plan – Direct Growth,100298,0.41,0.1,5.2,6.3,8.4,Gilt Mutual Funds,13.2653,Kotak Gilt – Invest Plan – Direct Growth - Gilt Mutual Funds,349
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,100299,0.41,0.1,5.2,6.3,8.4,Gilt Mutual Funds,74.4261,Kotak Gilt Invest – PF & Trust Plan – Direct Growth - Gilt Mutual Funds,350
Kotak Gold Fund,100300,0.18,0.4,14.2,12.2,13.7,FoFs Domestic,45.5984,Kotak Gold Fund - FoFs Domestic,351
Kotak India EQ Contra Fund,100301,0.81,0.5,7.3,29.7,14.2,Contra Funds,30.696,Kotak India EQ Contra Fund - Contra Funds,352
Kotak India Growth Fund,100828,0.34,0.5,4.8,35.5,15.6,Multi Cap Funds,1002.9403,Kotak India Growth Fund - Multi Cap Funds,353
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,100829,1.0,0.5,23.2,39.7,13.9,Sectoral / Thematic Mutual Funds,2893.5255,Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth - Sectoral / Thematic Mutual Funds,354
Kotak Liquid Fund,100830,0.15,0.2,5.6,4.3,5.3,Liquid Mutual Funds,3046.6062,Kotak Liquid Fund - Liquid Mutual Funds,355
Kotak Low Duration Fund,100831,0.43,0.2,5.4,6.2,6.9,Low Duration Funds,1222.81,Kotak Low Duration Fund - Low Duration Funds,356
Kotak Medium Term Fund,100832,0.58,0.2,4.0,7.0,6.6,Medium Duration Funds,1011.079,Kotak Medium Term Fund - Medium Duration Funds,357
Kotak Money Market Fund,100833,0.26,0.2,5.6,5.1,6.1,Money Market Funds,1222.81,Kotak Money Market Fund - Money Market Funds,358
Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,100834,0.13,0.4,11.2,25.0,15.3,FoFs Domestic,1000.476,Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth - FoFs Domestic,359
Kotak Savings Fund,100835,0.37,0.2,5.5,5.2,6.2,Ultra Short Duration Funds,5162.277,Kotak Savings Fund - Ultra Short Duration Funds,360
Kotak Small Cap Fund,100836,0.59,0.5,-0.7,43.1,17.0,Small Cap Mutual Funds,10.0071,Kotak Small Cap Fund - Small Cap Mutual Funds,361
Kotak Tax Saver Fund,101372,0.69,0.5,5.0,28.9,14.4,ELSS Mutual Funds,10.0545,Kotak Tax Saver Fund - ELSS Mutual Funds,362
L&T India Large Cap Fund,118069,1.49,0.5,0.8,33.0,12.1,Large Cap Mutual Funds,42.2231,L&T India Large Cap Fund - Large Cap Mutual Funds,363
LIC MF Banking & Fina Serv Fund,100312,1.54,0.5,13.9,22.7,8.5,Sectoral / Thematic Mutual Funds,26.9092,LIC MF Banking & Fina Serv Fund - Sectoral / Thematic Mutual Funds,364
LIC MF Banking & PSU Debt Fund,100313,0.28,0.1,4.2,5.7,6.8,Banking and PSU Mutual Funds,85.2739,LIC MF Banking & PSU Debt Fund - Banking and PSU Mutual Funds,365
LIC MF Bond Fund,100314,0.21,0.2,4.4,4.7,6.2,Medium to Long Duration Funds,15.3072,LIC MF Bond Fund - Medium to Long Duration Funds,366
LIC MF Children’s Gift Fund,100315,1.86,0.5,-1.9,17.1,7.6,Childrens Funds,69.8337,LIC MF Children’s Gift Fund - Childrens Funds,367
LIC MF Debt Hybrid Fund,100316,1.34,0.3,2.5,8.1,6.7,Conservative Hybrid Mutual Funds,16.6922,LIC MF Debt Hybrid Fund - Conservative Hybrid Mutual Funds,368
LIC MF Equity Hybrid Fund,100317,1.43,0.5,-0.5,15.1,8.3,Aggressive Hybrid Mutual Funds,57.9086,LIC MF Equity Hybrid Fund - Aggressive Hybrid Mutual Funds,369
LIC MF Flexi Cap Fund,100318,1.74,0.5,-0.9,18.3,8.8,Flexi Cap Funds,21.643,LIC MF Flexi Cap Fund - Flexi Cap Funds,370
LIC MF G-Sec Fund,100319,0.76,0.1,3.3,4.9,7.7,Gilt Mutual Funds,33.446,LIC MF G-Sec Fund - Gilt Mutual Funds,371
LIC MF Infrastructure Fund,100321,1.47,0.5,6.7,29.8,11.2,Sectoral / Thematic Mutual Funds,14.8007,LIC MF Infrastructure Fund - Sectoral / Thematic Mutual Funds,372
LIC MF Large & Mid Cap Fund,100323,0.84,0.5,-4.3,22.8,10.9,Large & Mid Cap Funds,174.8393,LIC MF Large & Mid Cap Fund - Large & Mid Cap Funds,373
LIC MF Large Cap Fund,100325,1.39,0.5,-3.2,19.7,10.9,Large Cap Mutual Funds,33.4775,LIC MF Large Cap Fund - Large Cap Mutual Funds,374
LIC MF Liquid Fund,100332,0.16,0.2,5.6,4.4,5.3,Liquid Mutual Funds,29.9666,LIC MF Liquid Fund - Liquid Mutual Funds,375
LIC MF Nifty 50 Index Fund,100864,0.2,0.5,1.0,25.8,11.7,Index Funds,29.2112,LIC MF Nifty 50 Index Fund - Index Funds,376
LIC MF S&P BSE Sensex Index Fund,100865,0.38,0.5,2.2,25.4,12.6,Index Funds,139.5372,LIC MF S&P BSE Sensex Index Fund - Index Funds,377
LIC MF Savings Fund,101184,0.27,0.1,5.0,5.9,5.6,Low Duration Funds,1000.1751,LIC MF Savings Fund - Low Duration Funds,378
LIC MF Tax Plan – Direct Growth,101185,1.47,0.5,-1.9,20.5,9.9,ELSS Mutual Funds,4619.1568,LIC MF Tax Plan – Direct Growth - ELSS Mutual Funds,379
Mahindra Manulife ELSS Fund,139534,0.73,0.5,2.3,29.3,12.0,ELSS Mutual Funds,1000.5686,Mahindra Manulife ELSS Fund - ELSS Mutual Funds,380
Mahindra Manulife Equity Savings Fund,139535,0.7,0.3,1.7,32.4,13.3,Equity Savings Mutual Funds,1182.5325,Mahindra Manulife Equity Savings Fund - Equity Savings Mutual Funds,381
Mahindra Manulife Liquid Fund,139536,0.15,0.2,5.7,4.5,5.4,Liquid Mutual Funds,1004.2835,Mahindra Manulife Liquid Fund - Liquid Mutual Funds,382
Mahindra Manulife Low Duration Fund,139537,0.37,0.2,5.2,5.5,6.4,Low Duration Funds,1662.5211,Mahindra Manulife Low Duration Fund - Low Duration Funds,383
Mahindra Manulife Mid Cap Fund,139538,0.66,0.5,3.7,31.0,14.7,Mid Cap Mutual Funds,1679.7539,Mahindra Manulife Mid Cap Fund - Mid Cap Mutual Funds,384
Mahindra Manulife Multi Cap Fund,139539,0.49,0.5,1.2,32.6,15.8,Multi Cap Funds,1218.6343,Mahindra Manulife Multi Cap Fund - Multi Cap Funds,385
Mirae Asset Cash Management Fund,107578,0.17,0.1,5.6,4.3,5.3,Liquid Mutual Funds,100.763,Mirae Asset Cash Management Fund - Liquid Mutual Funds,386
Mirae Asset Dynamic Bond Fund,107579,0.18,0.2,2.8,4.5,7.2,Dynamic Bond,27.992,Mirae Asset Dynamic Bond Fund - Dynamic Bond,387
Mirae Asset Emerging Bluechip Fund,107589,0.68,0.5,-1.2,29.4,15.1,Large & Mid Cap Funds,10.773,Mirae Asset Emerging Bluechip Fund - Large & Mid Cap Funds,388
Mirae Asset Great Consumer Fund,107646,0.5,0.5,8.1,27.2,14.0,Sectoral / Thematic Mutual Funds,1168.6935,Mirae Asset Great Consumer Fund - Sectoral / Thematic Mutual Funds,389
Mirae Asset Hybrid – Equity Fund,107647,0.36,0.5,1.7,21.9,12.2,Aggressive Hybrid Mutual Funds,1171.5763,Mirae Asset Hybrid – Equity Fund - Aggressive Hybrid Mutual Funds,390
Mirae Asset Large Cap Fund,107648,0.53,0.5,0.6,25.3,12.1,Large Cap Mutual Funds,1227.39,Mirae Asset Large Cap Fund - Large Cap Mutual Funds,391
Mirae Asset Savings Fund,107649,0.37,0.1,5.2,5.6,5.9,Low Duration Funds,1039.5721,Mirae Asset Savings Fund - Low Duration Funds,392
Mirae Asset Short Term Fund,107656,0.31,0.1,4.5,6.1,6.7,Short Duration Funds,1052.4259,Mirae Asset Short Term Fund - Short Duration Funds,393
Mirae Asset Tax Saver Fund,107657,0.54,0.5,0.6,30.3,15.3,ELSS Mutual Funds,1000.1541,Mirae Asset Tax Saver Fund - ELSS Mutual Funds,394
Motilal Oswal Balance Advantage Fund,117141,1.19,0.5,0.3,9.9,5.6,Dynamic Asset Allocation or Balanced Advantage,2529.5576,Motilal Oswal Balance Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,395
Motilal Oswal Equity Hybrid Fund,122388,0.94,0.5,1.7,32.4,13.3,Aggressive Hybrid Mutual Funds,17.3402,Motilal Oswal Equity Hybrid Fund - Aggressive Hybrid Mutual Funds,396
Motilal Oswal Flexi Cap Fund,122389,0.97,0.5,-1.6,16.4,4.9,Flexi Cap Funds,42.5172,Motilal Oswal Flexi Cap Fund - Flexi Cap Funds,397
Motilal Oswal Focused Fund,122390,1.0,0.5,2.6,20.4,10.6,Focused Funds,20.0982,Motilal Oswal Focused Fund - Focused Funds,398
Motilal Oswal Long Term Equity Fund,124233,0.8,0.5,8.5,25.0,10.0,ELSS Mutual Funds,16.1733,Motilal Oswal Long Term Equity Fund - ELSS Mutual Funds,399
Motilal Oswal Midcap Fund,124303,0.87,0.5,14.6,34.0,16.4,Mid Cap Mutual Funds,11.4495,Motilal Oswal Midcap Fund - Mid Cap Mutual Funds,400
Motilal Oswal Ultra Short Term Fund,124305,0.58,0.0,4.7,3.9,1.8,Ultra Short Duration Funds,11.7572,Motilal Oswal Ultra Short Term Fund - Ultra Short Duration Funds,401
Navi 3 In 1 Fund,112408,0.34,0.5,0.2,32.6,12.4,Multi Asset Allocation Mutual Funds,2251.9395,Navi 3 In 1 Fund - Multi Asset Allocation Mutual Funds,402
Navi Large & Midcap Fund,112645,0.35,0.5,1.6,28.7,12.7,Large & Mid Cap Funds,10.0129,Navi Large & Midcap Fund - Large & Mid Cap Funds,403
Navi Large Cap Equity Fund,112647,0.31,0.5,0.2,32.6,12.4,Large Cap Mutual Funds,10.023,Navi Large Cap Equity Fund - Large Cap Mutual Funds,404
Navi Regular Savings Fund,112648,0.39,0.3,4.4,8.4,6.5,Conservative Hybrid Mutual Funds,1015.6219,Navi Regular Savings Fund - Conservative Hybrid Mutual Funds,405
Navi Ultra Short Term Fund,113142,0.73,0.1,1.7,32.4,13.3,Ultra Short Duration Funds,26.1285,Navi Ultra Short Term Fund - Ultra Short Duration Funds,406
Nippon India Arbitrage Fund,100379,0.21,0.0,5.6,4.9,5.7,Arbitrage Mutual Funds,217.0112,Nippon India Arbitrage Fund - Arbitrage Mutual Funds,407
Nippon India Balanced Advantage Fund,100383,0.65,0.4,5.3,17.1,10.1,Dynamic Asset Allocation or Balanced Advantage,10.7836,Nippon India Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,408
Nippon India Banking & PSU Debt Fund,100385,0.33,0.2,4.2,6.9,7.4,Banking and PSU Mutual Funds,12.6072,Nippon India Banking & PSU Debt Fund - Banking and PSU Mutual Funds,409
Nippon India Banking&Financial Services-DirGrowth,100386,1.32,0.5,8.8,28.3,9.5,Sectoral / Thematic Mutual Funds,13.5794,Nippon India Banking&Financial Services-DirGrowth - Sectoral / Thematic Mutual Funds,410
Nippon India Consumption Fund,100387,1.76,0.5,12.1,30.6,14.6,Sectoral / Thematic Mutual Funds,87.0392,Nippon India Consumption Fund - Sectoral / Thematic Mutual Funds,411
Nippon India Corporate Bond Fund,100837,0.32,0.2,5.1,6.8,7.0,Corporate Bond Mutual Funds,5530.142,Nippon India Corporate Bond Fund - Corporate Bond Mutual Funds,412
Nippon India Credit Risk Fund,100838,1.0,0.4,4.8,9.5,4.4,Credit Risk Funds,1035.142,Nippon India Credit Risk Fund - Credit Risk Funds,413
Nippon India Dynamic Bond Fund,100851,0.28,0.2,3.6,5.6,6.7,Dynamic Bond,6233.4815,Nippon India Dynamic Bond Fund - Dynamic Bond,414
Nippon India Equity Hybrid Fund,100853,1.31,0.4,4.2,24.3,5.9,Aggressive Hybrid Mutual Funds,1531.903,Nippon India Equity Hybrid Fund - Aggressive Hybrid Mutual Funds,415
Nippon India Equity Savings Fund,100856,0.69,0.1,3.9,12.2,1.3,Equity Savings Mutual Funds,57.9143,Nippon India Equity Savings Fund - Equity Savings Mutual Funds,416
Nippon India Floating Rate Fund,100858,0.27,0.2,4.5,6.9,7.1,Floater Mutual Funds,12.052,Nippon India Floating Rate Fund - Floater Mutual Funds,417
Nippon India Focused Equity Fund,100859,1.2,0.5,3.2,33.0,11.9,Focused Funds,41.362,Nippon India Focused Equity Fund - Focused Funds,418
Nippon India Gold Savings Fund,101665,0.19,0.4,14.2,11.7,13.1,FoFs Domestic,51.0476,Nippon India Gold Savings Fund - FoFs Domestic,419
Nippon India Growth Fund,101667,1.09,0.5,5.6,32.4,14.5,Mid Cap Mutual Funds,11.4853,Nippon India Growth Fund - Mid Cap Mutual Funds,420
Nippon India GSF – Direct Growth,101862,0.63,0.1,4.4,5.5,8.3,Gilt Mutual Funds,543.0243,Nippon India GSF – Direct Growth - Gilt Mutual Funds,421
Nippon India Hybrid Bond Fund,101864,1.26,0.5,5.1,9.6,3.4,Conservative Hybrid Mutual Funds,62.2205,Nippon India Hybrid Bond Fund - Conservative Hybrid Mutual Funds,422
Nippon India Income Fund,102172,0.58,0.1,6.0,5.8,7.9,Medium to Long Duration Funds,55.1697,Nippon India Income Fund - Medium to Long Duration Funds,423
Nippon India Index Fund,102173,0.15,0.5,1.5,25.6,13.0,Index Funds,11.0574,Nippon India Index Fund - Index Funds,424
Nippon India Index Fund,102174,0.2,0.5,0.9,26.0,11.9,Index Funds,12.1491,Nippon India Index Fund - Index Funds,425
Nippon India Large Cap Fund,102431,1.01,0.5,8.4,29.5,12.6,Large Cap Mutual Funds,468.4851,Nippon India Large Cap Fund - Large Cap Mutual Funds,426
Nippon India Liquid Fund,102432,0.2,0.1,5.6,4.4,5.4,Liquid Mutual Funds,468.4851,Nippon India Liquid Fund - Liquid Mutual Funds,427
Nippon India Low Duration Fund,102433,0.37,0.1,5.3,6.2,6.5,Low Duration Funds,109.1922,Nippon India Low Duration Fund - Low Duration Funds,428
Nippon India Money Market Fund,102673,0.21,0.2,5.7,5.3,6.3,Money Market Funds,43.7073,Nippon India Money Market Fund - Money Market Funds,429
Nippon India Multi Cap Fund,102675,1.12,0.5,10.7,33.7,13.2,Multi Cap Funds,11.098,Nippon India Multi Cap Fund - Multi Cap Funds,430
Nippon India Pharma Fund,102676,1.17,0.5,-7.0,24.7,15.6,Sectoral / Thematic Mutual Funds,10.2894,Nippon India Pharma Fund - Sectoral / Thematic Mutual Funds,431
Nippon India Power & Infra Fund,102677,1.58,0.5,20.4,37.2,10.1,Sectoral / Thematic Mutual Funds,10.2962,Nippon India Power & Infra Fund - Sectoral / Thematic Mutual Funds,432
Nippon India Quant Fund,102751,0.54,0.5,5.0,26.9,11.9,Sectoral / Thematic Mutual Funds,177.5973,Nippon India Quant Fund - Sectoral / Thematic Mutual Funds,433
Nippon India Retirement Fund,102752,0.85,0.3,4.0,8.4,7.4,Retirement Funds,177.5973,Nippon India Retirement Fund - Retirement Funds,434
Nippon India Retirement Fund,102753,1.03,0.5,1.3,25.3,6.7,Retirement Funds,34.6174,Nippon India Retirement Fund - Retirement Funds,435
Nippon India Short Term Fund,102848,0.34,0.2,4.3,6.7,7.2,Short Duration Funds,31.5947,Nippon India Short Term Fund - Short Duration Funds,436
Nippon India Small Cap Fund,102849,0.86,0.5,8.7,47.6,16.8,Small Cap Mutual Funds,36.0221,Nippon India Small Cap Fund - Small Cap Mutual Funds,437
Nippon India Strategic Debt Fund,102851,1.4,0.5,2.7,8.3,-0.9,Medium Duration Funds,24.2292,Nippon India Strategic Debt Fund - Medium Duration Funds,438
Nippon India Tax Saver (ELSS) Fund,103048,1.18,0.5,1.8,27.3,6.5,ELSS Mutual Funds,4038.9025,Nippon India Tax Saver (ELSS) Fund - ELSS Mutual Funds,439
Nippon India USD Fund,103050,0.38,0.2,5.9,7.0,5.9,Ultra Short Duration Funds,1004.4291,Nippon India USD Fund - Ultra Short Duration Funds,440
Nippon India Value Fund,103051,1.21,0.5,0.0,30.3,12.2,Value Funds,1005.6168,Nippon India Value Fund - Value Funds,441
Nippon India Vision Fund,103052,1.55,0.5,2.1,27.4,9.3,Large & Mid Cap Funds,1020.0306,Nippon India Vision Fund - Large & Mid Cap Funds,442
Parag Parikh Flexi Cap Fund,122640,0.75,0.5,2.3,33.6,17.6,Flexi Cap Funds,77.1432,Parag Parikh Flexi Cap Fund - Flexi Cap Funds,443
PGIM India Arbitrage Fund,116484,0.33,0.0,5.3,4.5,5.2,Arbitrage Mutual Funds,1077.8234,PGIM India Arbitrage Fund - Arbitrage Mutual Funds,444
PGIM India Banking&PSU Debt Fund,116485,0.25,0.1,4.1,6.4,7.1,Banking and PSU Mutual Funds,2551.6954,PGIM India Banking&PSU Debt Fund - Banking and PSU Mutual Funds,445
PGIM India Corporate Bond Fund,120084,0.29,0.1,4.3,6.8,6.9,Corporate Bond Mutual Funds,2887.0536,PGIM India Corporate Bond Fund - Corporate Bond Mutual Funds,446
PGIM India Dynamic Bond Fund,120086,0.36,0.1,4.6,5.7,7.4,Dynamic Bond,1191.9982,PGIM India Dynamic Bond Fund - Dynamic Bond,447
PGIM India Elss Tax Saver Fund,125305,1.0,0.5,2.9,31.8,13.7,ELSS Mutual Funds,56.17,PGIM India Elss Tax Saver Fund - ELSS Mutual Funds,448
PGIM India Equity Savings Fund,125306,0.42,0.1,4.3,12.6,8.0,Equity Savings Mutual Funds,24.1,PGIM India Equity Savings Fund - Equity Savings Mutual Funds,449
PGIM India Flexi Cap Fund,133836,0.4,0.5,-2.3,34.0,15.7,Flexi Cap Funds,31.85,PGIM India Flexi Cap Fund - Flexi Cap Funds,450
PGIM India Gilt Fund,133837,0.39,0.2,4.2,5.3,7.0,Gilt Mutual Funds,20.96,PGIM India Gilt Fund - Gilt Mutual Funds,451
PGIM India Hybrid Equity Fund,133838,0.68,0.5,4.0,20.6,9.0,Aggressive Hybrid Mutual Funds,18.64,PGIM India Hybrid Equity Fund - Aggressive Hybrid Mutual Funds,452
PGIM India Large Cap Fund,133839,0.98,0.5,4.7,24.1,10.9,Large Cap Mutual Funds,37.05,PGIM India Large Cap Fund - Large Cap Mutual Funds,453
PGIM India Liquid Fund,135598,0.17,0.1,5.6,4.4,5.4,Liquid Mutual Funds,31.12,PGIM India Liquid Fund - Liquid Mutual Funds,454
PGIM India Low Duration Fund,135599,0.35,0.1,5.5,4.3,2.0,Low Duration Funds,17.81,PGIM India Low Duration Fund - Low Duration Funds,455
PGIM India Midcap Opportunities Fund,135600,0.46,0.5,2.0,42.9,19.0,Mid Cap Mutual Funds,18.8,PGIM India Midcap Opportunities Fund - Mid Cap Mutual Funds,456
PGIM India Short Duration Fund,135601,0.5,0.1,4.5,6.3,4.6,Short Duration Funds,35.42,PGIM India Short Duration Fund - Short Duration Funds,457
PGIM India Ultra Short Duration Fund,138254,0.25,0.1,5.5,5.2,7.3,Ultra Short Duration Funds,11.4385,PGIM India Ultra Short Duration Fund - Ultra Short Duration Funds,458
Quant Absolute Fund,100171,0.56,0.5,7.3,38.2,19.1,Aggressive Hybrid Mutual Funds,12.2802,Quant Absolute Fund - Aggressive Hybrid Mutual Funds,459
Quant Active Fund,100172,0.58,0.5,1.0,45.5,19.9,Multi Cap Funds,64.5152,Quant Active Fund - Multi Cap Funds,460
Quant Flexi Cap Fund,100173,0.58,0.5,6.8,47.7,18.2,Flexi Cap Funds,33.9314,Quant Flexi Cap Fund - Flexi Cap Funds,461
Quant Focused Fund,100174,0.57,0.5,5.2,33.7,13.1,Focused Funds,44.3248,Quant Focused Fund - Focused Funds,462
Quant Infrastructure Fund,100175,0.64,0.5,5.6,61.5,21.1,Sectoral / Thematic Mutual Funds,319.184,Quant Infrastructure Fund - Sectoral / Thematic Mutual Funds,463
Quant Large and Mid Cap Fund,100176,0.56,0.5,6.9,33.0,14.2,Large & Mid Cap Funds,178.4485,Quant Large and Mid Cap Fund - Large & Mid Cap Funds,464
Quant Liquid Plan – Direct Growth,100177,0.29,0.1,5.6,4.9,5.9,Liquid Mutual Funds,224.389,Quant Liquid Plan – Direct Growth - Liquid Mutual Funds,465
Quant Mid Cap Fund,100630,0.63,0.5,8.8,45.1,19.8,Mid Cap Mutual Funds,64.7127,Quant Mid Cap Fund - Mid Cap Mutual Funds,466
Quant Multi Asset Fund,100631,0.56,0.5,10.6,42.6,20.5,Multi Asset Allocation Mutual Funds,565.8536,Quant Multi Asset Fund - Multi Asset Allocation Mutual Funds,467
Quant Small Cap Fund,101065,0.64,0.5,5.4,71.4,23.2,Small Cap Mutual Funds,194.553,Quant Small Cap Fund - Small Cap Mutual Funds,468
Quant Tax Plan- Direct Growth,101066,0.57,0.5,0.9,54.9,22.2,ELSS Mutual Funds,69.1636,Quant Tax Plan- Direct Growth - ELSS Mutual Funds,469
Quantum Dynamic Bond Fund,103490,0.61,0.2,5.4,5.9,6.9,Dynamic Bond,120.44,Quantum Dynamic Bond Fund - Dynamic Bond,470
Quantum Equity Fund,103491,0.51,0.5,-0.5,22.9,9.1,FoFs Domestic,121.47,Quantum Equity Fund - FoFs Domestic,471
Quantum Gold Savings Fund,103734,0.06,0.4,14.3,11.7,13.0,FoFs Domestic,34.5197,Quantum Gold Savings Fund - FoFs Domestic,472
Quantum Liquid Fund,103735,0.15,0.0,5.4,4.0,4.9,Liquid Mutual Funds,10.0278,Quantum Liquid Fund - Liquid Mutual Funds,473
Quantum Long Term Equity Value Fund,103736,1.29,0.5,2.4,26.5,8.8,Value Funds,10.0085,Quantum Long Term Equity Value Fund - Value Funds,474
Quantum Multi Asset Fund,107693,0.1,0.3,5.5,12.4,8.1,FoFs Domestic,71.9383,Quantum Multi Asset Fund - FoFs Domestic,475
Quantum Tax Saving Fund,108479,1.29,0.5,2.9,26.6,8.9,ELSS Mutual Funds,2440.2919,Quantum Tax Saving Fund - ELSS Mutual Funds,476
